Teams, Date Eliminated
Atlanta Hawks, Playoffs
Boston Celtics, Playoffs
Brooklyn Nets,3/6/17
Charlotte Hornets,4/12/17
Chicago Bulls, Playoffs
Cleveland Cavaliers, Playoffs
Dallas Mavericks,3/31/17
Denver Nuggets,4/9/17
Detroit Pistons,4/5/17
Golden State Warriors, Playoffs
Houston Rockets, Playoffs
Indiana Pacers, Playoffs
LA Clippers, Playoffs
Los Angeles Lakers,3/17/17
Memphis Grizzlies, Playoffs
Miami Heat,4/10/17
Milwaukee Bucks, Playoffs
Minnesota Timberwolves,4/1/17
New Orleans Pelicans,4/8/17
New York Knicks,4/2/17
Oklahoma City Thunder, Playoffs
Orlando Magic,3/27/17
Philadelphia 76ers,3/28/17
Phoenix Suns,3/23/17
Portland Trail Blazers, Playoffs
Sacramento Kings,3/30/17
San Antonio Spurs, Playoffs
Toronto Raptors, Playoffs
Utah Jazz, Playoffs
Washington Wizards, Playoffs
